번호,DAY,단어,원문 단어,한자,한자 뜻풀이,출처,품사,뜻
0237,DAY 08,결속,결속,結束,"맺을 결, 묶을 속",2013수능,명사,"(1) 한 덩어리가 되게 묶음.
(2) 뜻이 같은 사람끼리 서로 단결함.
¶ 국민적 결속 / 결속을 강화하다. / 결속을 다지다.
(3) 여행을 떠나거나 싸움터에 나설 때에 몸단속을 함. 또는 그럴 때의 몸단속.
(4) 하던 일이나 말을 수습하고 정리하여 끝맺음.
¶ 의견을 종합하여 결속을 지었다.
(5) 전선 따위를 서로 통할 수 있도록 연결함.
¶ 이 제품은 공구 없이도 전선의 결속이 가능하다."
0238,DAY 08,누수,누수04,漏水,"샐 루, 물 수",2013수능,명사,"(1) 물이 샘. 또는 새어 나오는 물.
¶ 제방의 누수 방지를 위하여 제방 뒷면에 흙을 쌓았다.
(2) 물시계에서 떨어지는 물."
0239,DAY 08,탐지,탐지,探知,"찾을 탐, 알 지",2013수능,명사,"드러나지 않은 사실이나 물건 따위를 더듬어 찾아 알아냄.
¶ 비밀 탐지 / 적정 탐지 / 지뢰 탐지."
0240,DAY 08,입안,입안03,立案,"설 립, 책상 안",2013수능,명사,"(1) 어떤 안(案)을 세움. 또는 그 안건.
¶ 정책 입안 / 국회에서는 특별법의 입안을 담당할 소위원회를 새로이 구성했다.
(2) {역사} 조선 시대에, 관아에서 어떠한 사실을 인증(認證)한 서면(書面)."
0241,DAY 09,수립,수립02,樹立,"나무 수, 설 립",2013수능,명사,"국가나 정부, 제도, 계획 따위를 이룩하여 세움.
¶ 정책 수립 / 새 정부의 수립을 계기로 사면령이 발표되었다."
0242,DAY 09,미흡하다,미흡하다,未洽,"하다, 아닐, 미, 윤택히, 할 흡",2013수능,형용사,"아직 흡족하지 못하거나 만족스럽지 아니하다.
¶ 미흡한 설명 / 사전 조치가 미흡하다. / 영달이가 회의를 진행시킨 방법에는 다
소 미흡한 점이 있긴 하지만, 그만한 정도는 큰일을 하는 데 으레 따르게 마련
이라고 했다. ≪김춘복, 쌈짓골≫"
0243,DAY 09,기탁,기탁,寄託,"부칠 기, 부탁할 탁",2013수능,명사,"(1) 어떤 일을 부탁하여 맡겨 둠.
(2) {법률} 당사자 중 한쪽이 금전이나 물건을 맡기고 상대편이 이를 보관하기로 약속함. 또
는 그로써 성립하는 계약."
0244,DAY 09,점층,점층,漸層,"점점 점, 층 층",2013수능,명사,"글에서 점진적으로 어구를 겹쳐 가면서 문장의 포괄적인 내용과 뜻을 넓혀 중심 주제로 이
끌어 감."
0245,DAY 09,소통,소통02,疏通,"트일 소, 통할 통",2013수능,명사,"(1) 막히지 아니하고 잘 통함.
¶ 소통 장애 / 차량의 원활한 소통.
(2) 뜻이 서로 통하여 오해가 없음.
¶ 서로의 의견 소통이 잘 이루어지다. / 그 일이 응어리가 되어 두 사람 사이의
의사나 정의 소통이 예전처럼 부드럽지가 못한 건 벌써부터였지만 이번처럼 격
렬하고 적나라하게 따진 적은 없었다. ≪박완서, 미망≫"
0246,DAY 09,귀납,귀납,歸納,"돌아갈 귀, 바칠 납",2013수능,명사,"{논리} 개별적인 특수한 사실이나 원리로부터 일반적이고 보편적인 명제 및 법칙을 유도해
내는 일. 추리 및 사고방식의 하나로, 개연적인 확실성만을 가진다. ≒ 귀납적 삼단
논법·귀납 추리."
0247,DAY 09,반증,반증,反證,"되돌릴 반, 증거 증",2013수능,명사,"(1) 어떤 사실이나 주장이 옳지 아니함을 그에 반대되는 근거를 들어 증명함. 또는 그런 증
거.
¶ 우리에겐 그 사실을 뒤집을 만한 반증이 없다. / 그의 주장은 논리가 워낙 치밀
해서 반증을 대기가 어렵다.
(2) (주로 ‘-는/-다는 반증이다’ 구성으로 쓰여) 어떤 사실과 모순되는 것 같지만, 오히려
그것을 증명한다고 볼 수 있는 사실.
¶ 암호까지 하달했다는 것은 당성을 의심하기는커녕 당성을 얼마나 신뢰하고 있는
가 하는 좋은 반증이었던 것이다. ≪조정래, 태백산맥≫"
0248,DAY 09,연역,연역03,演繹,"멀리흐를, 연, 풀어낼 역",2013수능,명사,"{논리} 어떤 명제로부터 추론 규칙에 따라 결론을 이끌어 냄. 또는 그런 과정. 일반적인 사
실이나 원리를 전제로 하여 개별적인 사실이나 보다 특수한 다른 원리를 이끌어 내
는 추리를 이른다. 경험을 필요로 하지 않는 순수한 사유에 의하여 이루어지며 그
전형은 삼단 논법이다. ≒ 연역적 추리·연역 추리·형식적 추리·형식 추리."
0249,DAY 09,확장,확장,擴張,"넓힐 확, 베풀 장",2013수능,명사,"범위, 규모, 세력 따위를 늘려서 넓힘.
¶ 사업 확장 / 군비 확장 계획 / 고속 도로 확장이 시급하다. / 도서관의 확장으
로 많은 학생들이 편리하게 공부할 수 있게 되었다."
0250,DAY 09,전무,전무01,全無,"온전할 전, 없을 무",2013수능,명사,"전혀 없음.
¶ 안전사고 전무 / 그 불빛이 꺼져 버리는 순간 그것은 그대로 전무이며 끝 모를
허망이었다. ≪이문열, 영웅시대≫"
0251,DAY 09,결여,결여01,缺如,"이지러질, 결, 같을 여",2013수능,명사,"마땅히 있어야 할 것이 빠져서 없거나 모자람. ≒ 결언·궐언·궐여.
¶ 객관성 결여 / 정신력의 결여 / 나는 내 무지와 신심의 결여를 꾸짖으며 고개를
꺾었다. ≪김성동, 만다라≫"
0252,DAY 09,사후,사후03,事後,"일 사, 뒤 후",2013수능,명사,"일이 끝난 뒤. 또는 일을 끝낸 뒤. ≒ 사과후.
¶ 사후 처리 / 사후에 영장을 교부하다. / 관계 부처에서는 이 사건의 진상 파악
과 사후 대책을 마련하기 위한 작업을 철야로 진행 중이다."
0253,DAY 09,부재,부재03,不在,"아니 부, 있을 재",2013수능,명사,"그곳에 있지 아니함.
¶ 치안 부재 / 지도력 부재 / 정책 부재와 경험 부족으로 곤란을 겪다. / 어머니
의 부재로 집안은 늘 썰렁했다."
0254,DAY 09,체취,체취,體臭,"몸 체, 냄새 취",2013수능,명사,"(1) 몸에서 나는 냄새. ≒ 몸내.
¶ 오랫동안 목욕을 못한 그의 몸에서는 짐승의 체취 같은 짙은 악취가 풍겨 왔다.
≪홍성원, 육이오≫ / 나는 손수건을 꺼내어 이마와 목을 훔친 다음 코에 대어
보았다. 땀에 쉰 나의 체취가 코를 쑤셨다. ≪서기원, 이 성숙한 밤의 포옹≫
(2) 어떤 개인이나 작품에서 풍겨 나오는 특유의 느낌.
¶ 그에게서 귀족적인 체취가 난다. / 검고 굵은 눈썹과 강건한 턱 선이 고집깨나
센 성격 같아 보이면서도, 전체적으로 풍기는 체취가 도무지 때 묻은 생활의
티끌이 느껴지지 않았다. ≪김원일, 노을≫"
0255,DAY 09,포섭,포섭,包攝,"쌀 포, 당길 섭",2013수능,명사,"(1) 상대편을 자기편으로 감싸 끌어들임.
¶ 포섭 공작 / 포섭을 기도하다. / 간첩에게 포섭을 당하다. / 말조차 붙이지 못할
정도로 권위와 거드름을 피우는 간수들은 포섭 대상에서 제외된다.
≪최인호, 지구인≫
(2) {논리} 어떤 개념이 보다 일반적인 개념에 포괄되는 종속 관계. 포유류와 척추동물의 관
계 따위이다."
0256,DAY 09,유동,유동02,流動,"흐를 류, 움직일 동",2013수능,명사,"(1) 액체 상태의 물질이나 전류 따위가 흘러 움직임.
¶ 물의 유동이 거의 없는 늪.
(2) 이리저리 자주 옮겨 다님.
¶ 유동 인구."
0257,DAY 09,가정,가정07,假定,"거짓 가, 정할 정",2013수능,명사,"(1) 사실이 아니거나 또는 사실인지 아닌지 분명하지 않은 것을 임시로 인정함.
¶ 그의 의식 속에는 만약이라는 가정이 항상 존재하고 있다. / 6월 초 선거가 실
시된다는 가정 아래 준비를 해 왔다.
(2) {논리} 결론에 앞서 논리의 근거로 어떤 조건이나 전제를 내세움. 또는 그 조건이나 전
제.
(3) {수학} 정리에서, 어떤 조건을 임시로 내세움. 또는 그 조건."
0258,DAY 09,간명하다,간명하다02,簡明,"하다, 대쪽, 간, 밝을, 명",2013수능,형용사,간단하고 분명하다.
0259,DAY 09,압도,압도02,壓倒,"누를 압, 넘어질 도",2013수능,명사,"(1) 눌러서 넘어뜨림.
(2) 보다 뛰어난 힘이나 재주로 남을 눌러 꼼짝 못하게 함.
¶ 그의 성난 기세에 압도를 당하여 모두 아무 말도 못 하였다."
0260,DAY 09,수상,수상07,受賞,"받을 수, 상줄 상",2013수능,명사,"상을 받음.
¶ 수상 소감 / 문학상 수상 작품 / 화려한 수상 경력을 쌓다. / 대상 수상이 확실
시되다. / 그는 많은 대회에서 수상을 한 경력이 있다."
0261,DAY 09,보정,보정02,補正,"기울 보, 바를 정",2013수능,명사,"(1) 부족한 부분을 보태어 바르게 함. ‘바로잡음’으로 순화.
(2) {물리} 실험, 관측 또는 근삿값 계산 따위에서 결과에 포함된 외부적 원인에 의한 오차
를 없애고 참값에 가까운 값을 구하는 것."
0262,DAY 09,선행,선행01,先行,"먼저 선, 갈 행",2013수능,명사,"(1) 어떠한 것보다 앞서가거나 앞에 있음.
¶ 선행 부대.
(2) 딴 일에 앞서 행함. 또는 그런 행위.
¶ 선행 작업 / 선행 투자."
0263,DAY 09,별도,별도01,別途,"나눌 별, 길 도",2013수능,명사,"(1) 원래의 것에 덧붙여서 추가한 것.
¶ 손님을 위한 방이 별도로 마련되어 있습니다. / 이 문제는 별도의 기구에서 다
룰 예정이다. / 입학금을 마련하기 위해 별도의 적금을 들어 두었다. / 어차피
별도 조사가 있을 테니까 감춰 봐야 고생만 하게 돼. ≪이문열, 변경≫
(2) 딴 방면.
¶ 이 문제는 별도의 잣대를 대어 보는 방법도 병행해야 할 것이다. / 이전 계획과
는 별도로 생각해 볼 문제이다."
0264,DAY 09,생략,생략,省略,"덜 생, 다스릴 략",2013수능,명사,"전체에서 일부를 줄이거나 뺌. ≒ 약05(略)(1)·약생(略省).
¶ 이하 생략 / 문장 성분의 생략."
0265,DAY 09,이견,이견,異見,"다를 이, 볼 견",2013수능,명사,"어떠한 의견에 대한 다른 의견. 또는 서로 다른 의견.
¶ 이견을 내놓다. / 이견을 가지다. / 그의 말에는 이견을 달 여지가 없었다. / 양
편의 이견을 좁히지 못해서 협상이 결렬되었다. / 그를 도와주자는 데는 이견
이 없다."
0266,DAY 09,파생,파생01,派生,"물갈래 파, 날 생",2013수능,명사,"사물이 어떤 근원으로부터 갈려 나와 생김.
¶ 파생 과정 / 파생 상품."
0267,DAY 09,명료하다,명료하다,明瞭,"하다, 밝을, 명, 밝을, 료",2012수능,형용사,"뚜렷하고 분명하다.
¶ 명료한 표현 / 지나간 성인들의 가르침은 하나같이 간단하고 명료했다. ≪법정,
무소유≫ / 소녀가 어른의 마음을 찌르는 소리를 했던 것이 밑도 끝도 없이 명
료하게 떠올랐다. ≪박완서, 오만과 몽상≫"
0268,DAY 09,모형,모형05,模形模型,"본뜰 모, 모양 형, 본뜰 모, 거푸집 형",2012수능,명사,"(1) 모양이 같은 물건을 만들기 위한 틀. ≒ 모본02(模本)(2).
(2) 실물을 모방하여 만든 물건.
¶ 건물 모형 / 이것은 신도시의 모형입니다.
(3) {미술} 작품을 만들기 전에 미리 만든 본보기 또는 완성된 작품을 줄여서 만든 본보기.
¶ 조각을 하기에 앞서 모형을 뜨다."
0269,DAY 09,사태,사태06,事態,"일 사, 모양 태",2012수능,명사,"일이 되어 가는 형편이나 상황. 또는 벌어진 일의 상태. ≒ 사상10(事狀)·사체07(事體)(2).
¶ 긴급한 사태 / 폭력 사태 / 사태를 수습하다. / 사태가 심각하다. / 사태를 관망
하다. / 사태를 예견하다. / 유일하게 오빠만이 흥분하지 않고 그 사태를 차근
차근 갈피 잡아 바른 판단을 하려는 침착성을 보였다. ≪박완서, 엄마의 말뚝≫"
0270,DAY 09,형이상학,형이상학01,,,2012수능,명사,"{철학}
(1) 사물의 본질, 존재의 근본 원리를 사유나 직관에 의하여 탐구하는 학문. 명칭은 아리스
토텔레스의 저작물의 제목에서 유래한다. ≒ 무형학.
(2) 헤겔·마르크스 철학에서, 비변증법적 사고를 이르는 말.
(3) 초경험적인 것을 대상으로 하는 학문을, 형이하 또는 경험적 대상의 학문인 자연 과학
에 상대하여 이르는 말.
(참고 어휘) 형이하학(形而下學)."
0271,DAY 10,침묵,침묵,沈黙,"가라앉을, 침, 묵묵할 묵",2012수능,명사,"(1) 아무 말도 없이 잠잠히 있음. 또는 그런 상태.
¶ 침묵이 흐르다. / 침묵을 깨뜨리다 / 침묵을 지키다
(2) 정적(靜寂)이 흐름. 또는 그런 상태.
¶ 침묵에 빠지다 / 침묵에 싸이다
(3) 어떤 일에 대하여 그 내용을 밝히지 아니하거나 비밀을 지킴. 또는 그런 상태.
¶ 그 사건에 관련된 사람들은 하나같이 침묵으로 일관하고 있었다.
(4) 일의 진행 상태나 기계 따위가 멈춤. 또는 그런 상태.
¶ 작가가 오랜 침묵을 깨고 신작을 발표했다."
0272,DAY 10,관념,관념02,觀念,"볼 관, 생각할 념",2012수능,명사,"(1) 어떤 일에 대한 견해나 생각.
¶ 잘못된 시간 관념을 갖다 / 낡은 관념을 극복하다
(2) 현실에 의하지 않는 추상적이고 공상적인 생각.
¶ 관념에 빠지다.
(3) {심리} 사고(思考)의 대상이 되는 의식의 내용, 심적 형상(心的形象)을 통틀어 이르는
말.
(4) {철학} 어떤 대상에 관한 인식이나 의식 내용."
0273,DAY 10,분포,분포02,分布,"나눌 분, 베 포",2012수능,명사,"(1) 일정한 범위에 흩어져 퍼져 있음.
¶ 버스, 지하철 노선의 분포 / 각종 산업의 지역적 분포 / 인구의 분포
(2) {생물} 동식물의 지리적인 생육 범위."
0274,DAY 10,지각,지각04,知覺,"알 지, 깨달을 각",2012수능,명사,"(1) 알아서 깨달음. 또는 그런 능력.
¶ 이미 더위를 먹을 대로 먹어 버린 우리의 지각은 일단 받아들인 명령을 다리에
까지 전달하는 일에 몹시 게으르고 불성실했다.
≪윤흥길, 제식 훈련 변천 약사≫
(2) 사물의 이치나 도리를 분별하는 능력.
¶ 지각을 차리다 / 지각이 나다 / 지각이 들다 / 지각이 부족하다
(3) {심리} 감각 기관을 통하여 대상을 인식함. 또는 그런 작용. 그 작용의 결과로 지각체가
형성된다."
0275,DAY 10,대역,대역06,帶域,"띠 대, 지경 역",2012수능,명사,{물리} 어떤 폭으로써 정해진 범위. 최대 주파수에서 최저 주파수까지의 구역을 말한다.
0276,DAY 10,간섭,간섭,干涉,"방패 간, 건널 섭",2012수능,명사,"(1) 직접 관계가 없는 남의 일에 부당하게 참견함.
¶ 간섭에서 벗어나다. / 간섭을 받다. / 남의 일에 지나친 간섭을 하지 마라.
(2) {물리} 두 개 이상의 파(波)가 한 점에서 만날 때 합쳐진 파의 진폭이 변하는 현상. 음
파(音波)에서는 굉음(轟音)이, 빛에서는 간섭무늬가 나타난다."
0277,DAY 10,치중,치중02,置重,"둘 치, 무거울 중",2012수능,명사,"어떠한 것에 특히 중점을 둠. ≒ 주중
02(注重).
¶ 그 학생은 영어에 대한 지나친 치중으로 과학 성적이 좋지 않았다."
0278,DAY 10,이윤,이윤02,利潤,"이로울 리, 불을 윤",2012수능,명사,"(1) 장사 따위를 하여 남은 돈.
¶ 이윤을 남기다. / 이윤이 없다.
(2) {경제} 기업의 총수입에서 임대, 지대, 이자, 감가상각비 따위를 빼고 남는 순이익.
¶ 이윤 배당."
0279,DAY 10,간과,간과02,看過,"볼 간, 지날 과",2012수능,명사,큰 관심 없이 대강 보아 넘김.
0280,DAY 10,이분,이분02,二分,"둘 이, 나눌 분",2012수능,명사,"(1) 둘로 나눔.
(2) 춘분과 추분을 통틀어 이르는 말."
0281,DAY 10,차원,차원01,次元,"버금 차, 으뜸 원",2012수능,명사,"(1) 사물을 보거나 생각하는 처지. 또는 어떤 생각이나 의견 따위를 이루는 사상이나 학식
의 수준.
¶ 차원이 낮은 영화 / 국가 차원에서 조사할 문제 / 한 차원 높은 대화
(2) {물리} 물리량의 성질을 나타내는 것. 또는 물리량의 기본 단위와 유도 단위의 관계.
(3) {수학} 기하학적 도형, 물체, 공간 따위의 한 점의 위치를 말하는 데에 필요한 실수의
최소 개수. 직선은 1차원, 평면은 2차원, 입체는 3차원이지만 n차원이나 무한
차원의 공간도 생각할 수 있다."
